id,difficulty,solved_by_n_of_16
dn_6.8,high,0
3.4,high,1
ry_4.6,high,1
jacob_10.9,medium,1
jacob_10.6,high,2
2.10,high,2
4.5,high,2
air_248,medium,3
air_346,medium,3
air_369,high,3
dn_6.12,high,3
dn_15.2,high,3
ca_15.1,high,4
ry_7.7,high,4
jacob_5.1,high,4
5.3,high,4
holton_62,high,5
p_78,medium,5
dn_10.51,high,5
ry_6.2,high,5
jacobson_14.1,high,5
air_201,medium,6
dn_8.22,high,6
fp_2.2,medium,6
dn_6.31,high,6
holton_59,high,6
jacob_13.2,high,7
air_247,high,7
air_208,medium,7
jacobson_9.2,high,7
6.9,high,8
holton_5,medium,8
holton_11,medium,8
holton_22,high,8
dn_6.6,high,8
jacob_6.4,high,8
air_154,high,9
air_167,medium,9
air_289,medium,9
turner_23,medium,9
snp_49,high,9
holton_50,high,9
5.11,high,9
snp_94,high,9
ry_7.2,high,9
ry_10.2,high,9
ry_11.1,high,9
fp_6.1,medium,9
fp_7.1,high,9
ry_14.2,high,9
jacobson_18.8(a),high,9
air_228,medium,10
snp_45,high,10
holton_44,high,10
ca_3.9,medium,10
jacobson_4.6,high,10
dn_15.6,medium,10
air_149,high,11
p_12,medium,11
p_113,medium,11
snp_85,high,11
holton_16,high,11
holton_8,high,11
3.8,high,11
7.5,high,11
7.6,high,11
13.5,high,11
ry_6.10,medium,11
ry_13.7,medium,11
ca_5.3,medium,11
jacob_10.3,high,11
holton_39,medium,11
snp_16,high,11
4.3,medium,12
air_103,medium,12
air_139,high,12
air_182,high,12
air_220,high,12
2.13,high,12
p_84,medium,12
p_99,high,12
snp_43,high,12
snp_6,medium,12
snp_22,high,12
holton_60,high,12
ry_8.1,high,12
dn_10.44,medium,12
dn_10.39,high,12
dn_15.19,medium,12
jacob_6.8,high,12
jacobson_2.16,medium,12
jacobson_18.1,high,12
7.4,high,13
air_59,medium,13
air_148,medium,13
air_214,medium,13
air_246,medium,13
air_264,medium,13
air_292,medium,13
air_360,medium,13
10.3,high,13
p_5,medium,13
p_10,medium,13
2.7,high,13
2.14,medium,13
5.7,medium,13
p_93,medium,13
p_107,medium,13
p_110,medium,13
turner_1,low,13
turner_2,medium,13
snp_56,high,13
snp_37,medium,13
jacob_4.8,high,13
holton_10,medium,13
holton_56,high,13
3.11,high,13
p_89,medium,13
4.6,medium,13
6.6,medium,13
ry_4.3,high,13
ry_12.5,high,13
dn_6.2,medium,13
dn_6.27,medium,13
dn_9.17,medium,13
ca_15.7,medium,13
ry_9.2,high,13
fp_11.1,high,13
jacob_2.2,high,13
1.1,medium,14
air_99,low,14
air_104,medium,14
air_106,medium,14
air_108,medium,14
air_124,medium,14
air_178,medium,14
air_212,medium,14
air_296,medium,14
air_314,medium,14
air_318,medium,14
air_379,medium,14
air_380,medium,14
p_4,medium,14
p_6,medium,14
2.15,high,14
p_16,medium,14
p_21,medium,14
p_25,medium,14
p_73,medium,14
p_101,medium,14
p_103,medium,14
snp_19,medium,14
snp_99,high,14
snp_9,high,14
snp_4,medium,14
snp_15,medium,14
jacob_4.7,high,14
jacob_12.1,medium,14
holton_19,high,14
holton_38,high,14
holton_76,high,14
4.9,high,14
8.7,high,14
p_9,medium,14
air_202,medium,14
ry_12.2,high,14
dn_8.16,medium,14
dn_8.32,medium,14
fp_5.1,high,14
fp_11.2,high,14
jacobson_13.2,high,14
holton_53,medium,14
dn_14.10,high,14
snp_64,high,14
jacob_8.2,high,14
air_0,medium,15
air_3,medium,15
1.2,medium,15
11.1,medium,15
6.1.4,medium,15
air_63,medium,15
air_64,medium,15
air_89,medium,15
air_90,high,15
air_105,medium,15
air_125,medium,15
air_138,medium,15
air_145,medium,15
air_159,medium,15
air_172,medium,15
air_198,medium,15
air_215,medium,15
air_227,medium,15
air_229,medium,15
air_234,medium,15
air_243,medium,15
air_250,medium,15
air_252,medium,15
air_256,medium,15
air_261,medium,15
air_263,medium,15
air_282,medium,15
air_284,medium,15
air_285,medium,15
air_290,high,15
air_304,medium,15
air_305,low,15
air_308,medium,15
air_315,medium,15
air_320,medium,15
air_321,medium,15
air_323,medium,15
air_328,medium,15
air_334,medium,15
air_347,medium,15
air_349,low,15
air_361,medium,15
air_363,medium,15
air_395,medium,15
air_405,medium,15
air_408,medium,15
2.3,high,15
2.4,high,15
5.10,high,15
p_26,medium,15
p_35,medium,15
p_37,low,15
p_64,medium,15
p_83,high,15
p_102,medium,15
p_104,medium,15
p_106,low,15
p_108,medium,15
p_114,low,15
p_115,medium,15
p_124,medium,15
turner_3,low,15
snp_7,medium,15
snp_67,high,15
snp_50,medium,15
snp_8,medium,15
jacob_13.4,high,15
holton_7,high,15
holton_13,medium,15
holton_30,high,15
holton_28,medium,15
holton_33,low,15
holton_36,high,15
holton_52,high,15
holton_51,medium,15
holton_58,medium,15
2.2,high,15
4.8,high,15
snp_30,high,15
air_242,medium,15
p_79,high,15
p_33,medium,15
air_344,high,15
ry_1.3,high,15
ry_3.5,high,15
ry_1.6,medium,15
ry_6.4,medium,15
dn_4.15,medium,15
dn_6.33,medium,15
dn_9.27,medium,15
dn_11.10,high,15
dn_12.1,medium,15
dn_14.12,high,15
dn_15.18,high,15
fp_2.4,medium,15
fp_12.2,medium,15
ca_5.1,medium,15
ca_10.5,high,15
ry_5.1,high,15
jacobson_2.5,medium,15
jacobson_2.7,high,15
jacobson_2.13,high,15
jacobson_2.1,medium,15
jacobson_2.19,high,15
jacobson_3.5,medium,15
jacobson_3.6(a),medium,15
jacobson_4.1,medium,15
jacobson_3.6(c),medium,15
jacobson_5.2,medium,15
jacobson_38,high,15
holton_2,medium,15
jacob_13.1,high,15
8.1,medium,15
jacobson_4.7,high,15
3.2,medium,16
air_68,high,16
air_71,medium,16
air_72,medium,16
air_88,medium,16
air_91,low,16
air_92,medium,16
air_98,medium,16
air_102,medium,16
air_107,medium,16
air_110,low,16
air_111,medium,16
air_116,medium,16
air_119,medium,16
air_120,medium,16
air_121,low,16
air_122,medium,16
air_123,medium,16
air_130,medium,16
air_132,medium,16
air_133,medium,16
air_137,high,16
air_143,medium,16
air_146,low,16
air_147,low,16
air_165,medium,16
air_168,low,16
air_170,medium,16
air_173,low,16
air_174,medium,16
air_177,medium,16
air_183,low,16
air_187,medium,16
air_197,medium,16
air_203,medium,16
air_205,low,16
air_206,medium,16
air_213,medium,16
air_224,medium,16
air_231,high,16
air_235,low,16
air_236,medium,16
air_239,low,16
air_251,low,16
air_255,medium,16
air_259,low,16
air_269,medium,16
air_273,low,16
air_299,medium,16
air_300,medium,16
air_301,low,16
air_306,medium,16
air_310,medium,16
air_322,medium,16
air_326,medium,16
air_330,low,16
air_335,low,16
air_338,low,16
air_339,low,16
air_342,low,16
air_345,medium,16
air_351,medium,16
air_355,medium,16
air_362,medium,16
air_368,medium,16
air_371,medium,16
air_382,medium,16
air_385,high,16
air_392,medium,16
p_0,medium,16
p_7,medium,16
p_11,low,16
5.2,high,16
6.1,medium,16
6.2,low,16
7.1,medium,16
p_2,low,16
p_3,medium,16
p_20,medium,16
p_22,low,16
p_23,medium,16
p_38,medium,16
p_40,medium,16
p_41,low,16
p_51,medium,16
p_52,medium,16
p_54,medium,16
p_55,medium,16
p_56,medium,16
p_57,medium,16
p_61,medium,16
p_63,medium,16
p_70,medium,16
p_71,medium,16
p_72,medium,16
p_85,medium,16
p_95,medium,16
p_96,medium,16
p_109,medium,16
p_111,low,16
p_112,low,16
p_123,medium,16
p_127,low,16
snp_68,medium,16
snp_5,medium,16
snp_72,high,16
snp_12,medium,16
jacob_2.1,medium,16
holton_1,medium,16
holton_27,medium,16
holton_34,medium,16
holton_40,high,16
4.4,medium,16
5.9,high,16
air_370,low,16
air_332,medium,16
air_359,low,16
air_383,low,16
air_376,medium,16
p_39,medium,16
air_222,medium,16
p_50,medium,16
air_329,medium,16
2.6,high,16
air_226,medium,16
ry_6.1,medium,16
dn_4.4,medium,16
dn_10.28,medium,16
dn_10.36,medium,16
dn_13.4,high,16
dn_14.6,low,16
fp_2.1,low,16
fp_2.5,low,16
fp_12.1,medium,16
fp_13.2,medium,16
dn_8.30,medium,16
ca_10.7,medium,16
dn_8.4,medium,16
jacobson_2.6,high,16
jacobson_2.14,medium,16
jacobson_4.5,low,16
jacobson_4.8,high,16
jacobson_2.17,medium,16
jacobson_18.6,medium,16
jacobson_2.22,medium,16
air_126,high,16
air_238,medium,16
