model,setting,acc_k1,acc_k2,acc_k3,acc_k4,acc_k5,repair_share_of_passes_pct
Kimi K2.6 (reasoning),reasoning,73.0,90.1,92.2,93.2,93.8,22.2
Qwen-3.5-9B (reasoning),reasoning,56.3,74.8,76.7,76.8,76.9,26.7
Qwen-3.6-27B (reasoning),reasoning,79.2,87.7,88.1,88.5,88.5,10.5
DeepSeek-V4-pro (reasoning),reasoning,89.1,93.0,93.3,93.3,93.3,4.5
Kimi K2.6,non-reasoning,87.3,89.7,90.1,90.1,90.1,3.1
Qwen-3.5-9B,non-reasoning,60.6,62.9,63.3,63.4,63.4,4.3
Qwen-3.6-27B,non-reasoning,77.3,79.3,79.4,79.4,79.4,2.7
Qwen-3.5-397B,non-reasoning,89.4,90.5,90.5,90.5,90.5,1.3
Qwen-3.5-397B (reasoning),reasoning,92.2,93.2,93.2,93.2,93.2,1.1
DeepSeek-V4-flash,non-reasoning,81.5,81.6,81.7,81.7,81.7,0.2
gpt-5.5,non-reasoning,90.6,90.8,90.8,90.8,90.8,0.3
DeepSeek-V4-flash (reasoning),reasoning,90.9,91.1,91.1,91.1,91.1,0.3
gpt-5.5 (reasoning),reasoning,97.5,97.6,97.6,97.6,97.6,0.2
DeepSeek-V4-pro,non-reasoning,82.6,82.6,82.6,82.6,82.6,0.1
Gemini-3.1-Pro (reasoning),reasoning,96.0,96.0,96.0,96.0,96.0,0.0
Qwen-2.5-72B,non-reasoning,41.1,41.1,41.1,41.1,41.1,0.0
