model,setting,acc_1pct,acc_2pct,acc_5pct,acc_10pct
gpt-5.5 (reasoning),reasoning,83.3,89.8,97.6,98.0
Gemini-3.1-Pro (reasoning),reasoning,82.0,88.9,96.0,96.3
Kimi K2.6 (reasoning),reasoning,80.1,86.3,93.8,94.2
DeepSeek-V4-pro (reasoning),reasoning,79.7,85.6,93.3,94.3
Qwen-3.5-397B (reasoning),reasoning,79.5,85.3,93.3,93.7
DeepSeek-V4-flash (reasoning),reasoning,78.0,84.3,91.3,92.6
gpt-5.5,non-reasoning,77.8,83.5,90.8,91.8
Qwen-3.5-397B,non-reasoning,78.0,83.3,90.6,91.1
Kimi K2.6,non-reasoning,77.2,83.1,90.1,90.7
Qwen-3.6-27B (reasoning),reasoning,75.4,81.7,88.5,89.3
DeepSeek-V4-pro,non-reasoning,71.7,77.0,83.0,83.8
DeepSeek-V4-flash,non-reasoning,69.7,75.2,81.8,82.6
Qwen-3.6-27B,non-reasoning,68.5,73.8,79.5,80.4
Qwen-3.5-9B (reasoning),reasoning,66.4,70.8,76.9,77.8
Qwen-3.5-9B,non-reasoning,54.5,58.4,63.6,65.0
Qwen-2.5-72B,non-reasoning,36.4,38.4,41.1,42.8
