id,difficulty,solved_by,DeepSeek-V4-flash (reasoning),DeepSeek-V4-flash,DeepSeek-V4-pro (reasoning),DeepSeek-V4-pro,Gemini-3.1-Pro (reasoning),gpt-5.5 (reasoning),gpt-5.5,Kimi K2.6 (reasoning),Kimi K2.6,Qwen-2.5-72B,Qwen-3.5-397B (reasoning),Qwen-3.5-397B,Qwen-3.5-9B (reasoning),Qwen-3.5-9B,Qwen-3.6-27B (reasoning),Qwen-3.6-27B
air_91,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_110,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_121,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_146,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_147,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_168,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_173,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_183,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_205,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_235,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_239,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_251,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_259,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_273,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_301,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_330,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_335,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_338,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_339,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_342,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_11,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.2,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_2,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_22,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_41,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_111,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_112,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_127,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_370,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_359,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_383,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dn_14.6,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fp_2.1,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fp_2.5,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jacobson_4.5,low,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.2,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_71,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_72,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_88,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_92,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_98,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_102,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_107,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_111,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_116,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_119,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_120,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_122,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_123,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_130,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
