trap,family,model,run,state
air203_gradient,formula_selection,deepseek-v4-flash-reasoning,1,pass
air203_gradient,formula_selection,deepseek-v4-flash-reasoning,2,pass
air203_gradient,formula_selection,deepseek-v4-flash-reasoning,3,pass
air203_gradient,formula_selection,deepseek-v4-flash,1,pass
air203_gradient,formula_selection,deepseek-v4-flash,2,pass
air203_gradient,formula_selection,deepseek-v4-flash,3,pass
air203_gradient,formula_selection,gemini-3.1-pro,1,pass
air203_gradient,formula_selection,gemini-3.1-pro,2,pass
air203_gradient,formula_selection,gemini-3.1-pro,3,pass
air203_gradient,formula_selection,gpt55-reasoning,1,pass
air203_gradient,formula_selection,gpt55-reasoning,2,pass
air203_gradient,formula_selection,gpt55-reasoning,3,pass
air203_gradient,formula_selection,gpt55,1,pass
air203_gradient,formula_selection,gpt55,2,pass
air203_gradient,formula_selection,gpt55,3,pass
air203_gradient,formula_selection,qwen3.5-9b-reasoning,1,pass
air203_gradient,formula_selection,qwen3.5-9b-reasoning,2,pass
air203_gradient,formula_selection,qwen3.5-9b-reasoning,3,fail
air203_gradient,formula_selection,qwen3.5-9b,1,fail
air203_gradient,formula_selection,qwen3.5-9b,2,fail
air203_gradient,formula_selection,qwen3.5-9b,3,pass
air203_gradient,formula_selection,qwen3.6-27b-reasoning,1,pass
air203_gradient,formula_selection,qwen3.6-27b-reasoning,2,pass
air203_gradient,formula_selection,qwen3.6-27b-reasoning,3,pass
air203_gradient,formula_selection,qwen3.6-27b,1,pass
air203_gradient,formula_selection,qwen3.6-27b,2,pass
air203_gradient,formula_selection,qwen3.6-27b,3,pass
air212_gradient,formula_selection,deepseek-v4-flash-reasoning,1,pass
air212_gradient,formula_selection,deepseek-v4-flash-reasoning,2,pass
air212_gradient,formula_selection,deepseek-v4-flash-reasoning,3,pass
air212_gradient,formula_selection,deepseek-v4-flash,1,pass
air212_gradient,formula_selection,deepseek-v4-flash,2,pass
air212_gradient,formula_selection,deepseek-v4-flash,3,pass
air212_gradient,formula_selection,gemini-3.1-pro,1,pass
air212_gradient,formula_selection,gemini-3.1-pro,2,pass
air212_gradient,formula_selection,gemini-3.1-pro,3,pass
air212_gradient,formula_selection,gpt55-reasoning,1,pass
