model,Rad_mean,Rad_sd,Clim_mean,Clim_sd,Thermo_mean,Thermo_sd,BL_mean,BL_sd,Dyn_mean,Dyn_sd,Obs_mean,Obs_sd,Chem_mean,Chem_sd,AQ_mean,AQ_sd,Aero_mean,Aero_sd,Cloud_mean,Cloud_sd,overall_mean,overall_sd
gpt-5.5 (reasoning),100.0000,0.0000,100.0000,0.0000,99.2509,0.6487,95.8333,3.6084,98.5632,0.4977,97.6190,4.1239,96.0784,1.9608,93.6937,1.5604,97.2222,2.4056,95.4023,3.9817,97.6300,0.1324
Gemini-3.1-Pro (reasoning),96.0000,0.0000,98.2456,3.0387,95.8801,0.6487,95.8333,1.8042,97.9885,1.3168,92.8571,0.0000,92.8105,1.1321,96.3964,1.5604,97.2222,2.4056,93.1034,0.0000,96.0245,0.7373
Kimi K2.6 (reasoning),97.3333,2.3094,96.4912,3.0387,97.3783,1.2974,90.6250,3.1250,97.1264,2.1695,88.0952,8.2479,88.8889,2.9951,90.0901,3.1208,87.5000,7.2169,89.6552,5.9726,93.8073,1.4323
DeepSeek-V4-pro (reasoning),96.0000,4.0000,94.7368,0.0000,97.3783,0.6487,94.7917,1.8042,95.1149,0.4977,92.8571,0.0000,88.2353,1.9608,86.4865,4.6812,88.8889,2.4056,90.8046,5.2673,93.3486,0.6068
Qwen-3.5-397B (reasoning),97.3333,2.3094,94.7368,0.0000,95.5056,1.1236,91.6667,3.6084,93.9655,1.4931,90.4762,8.2479,92.8105,1.1321,90.0901,1.5604,83.3333,4.1667,94.2529,1.9909,93.1957,1.2632
DeepSeek-V4-flash (reasoning),93.3333,6.1101,92.9825,6.0774,95.1311,0.6487,90.6250,3.1250,93.6782,0.4977,85.7143,14.2857,86.2745,3.3962,87.3874,1.5604,84.7222,2.4056,87.3563,3.9817,91.1315,0.8055
gpt-5.5,92.0000,0.0000,96.4912,3.0387,94.7566,1.7163,90.6250,3.1250,91.0920,3.0275,90.4762,8.2479,85.6209,1.1321,86.4865,2.7027,86.1111,6.3647,91.9540,5.2673,90.8257,1.3951
Qwen-3.5-397B,92.0000,4.0000,94.7368,5.2632,92.1348,1.9461,93.7500,3.1250,92.8161,1.3168,90.4762,4.1239,87.5817,2.9951,86.4865,2.7027,87.5000,0.0000,81.6092,3.9817,90.5199,0.7007
Kimi K2.6,92.0000,4.0000,91.2281,3.0387,91.3858,0.6487,88.5417,1.8042,92.2414,3.1082,92.8571,0.0000,86.9281,2.9951,85.5856,3.1208,94.4444,2.4056,82.7586,5.9726,90.0612,0.2648
Qwen-3.6-27B (reasoning),97.3333,2.3094,100.0000,0.0000,92.1348,0.0000,87.5000,3.1250,88.2184,0.4977,85.7143,0.0000,84.9673,1.1321,84.6847,4.1284,83.3333,0.0000,81.6092,5.2673,88.5321,0.6068
DeepSeek-V4-pro,85.3333,2.3094,87.7193,6.0774,88.0150,1.7163,91.6667,1.8042,84.7701,2.1695,95.2381,4.1239,79.0850,2.9951,68.4685,3.1208,79.1667,4.1667,63.2184,7.9635,82.6453,0.7007
DeepSeek-V4-flash,86.6667,2.3094,82.4561,3.0387,88.0150,3.9459,84.3750,3.1250,79.5977,2.1695,76.1905,4.1239,82.3529,5.1877,75.6757,8.1081,84.7222,2.4056,68.9655,10.3448,81.6514,1.4323
Qwen-3.6-27B,86.6667,6.1101,82.4561,8.0396,82.3970,0.6487,86.4583,4.7735,79.3103,0.8621,78.5714,0.0000,82.3529,5.1877,76.5766,6.8017,68.0556,2.4056,63.2184,1.9909,79.4343,0.7373
Qwen-3.5-9B (reasoning),89.3333,6.1101,85.9649,8.0396,84.6442,2.3390,81.2500,6.2500,78.1609,1.3168,80.9524,8.2479,71.8954,2.2641,72.9730,0.0000,58.3333,4.1667,54.0230,8.6780,76.9113,1.0594
Qwen-3.5-9B,77.3333,2.3094,75.4386,6.0774,71.1610,6.1883,70.8333,1.8042,63.5057,1.7945,64.2857,7.1429,53.5948,4.0817,55.8559,4.1284,47.2222,4.8113,50.5747,3.9817,63.3792,1.2632
Qwen-2.5-72B,68.0000,6.9282,68.4211,5.2632,48.6891,2.3390,53.1250,3.1250,34.4828,1.4931,52.3810,4.1239,29.4118,3.9216,30.6306,5.6261,27.7778,4.8113,28.7356,1.9909,41.0550,1.8349
