parent,leaked,model,state
11.1,no,DeepSeek-V4-flash (reasoning),both
4.3,no,DeepSeek-V4-flash (reasoning),both
6.1.4,no,DeepSeek-V4-flash (reasoning),both
7.4,no,DeepSeek-V4-flash (reasoning),both
air_63,no,DeepSeek-V4-flash (reasoning),both
air_71,no,DeepSeek-V4-flash (reasoning),both
air_72,no,DeepSeek-V4-flash (reasoning),both
air_88,no,DeepSeek-V4-flash (reasoning),both
air_91,no,DeepSeek-V4-flash (reasoning),both
air_92,no,DeepSeek-V4-flash (reasoning),both
air_98,no,DeepSeek-V4-flash (reasoning),both
air_103,no,DeepSeek-V4-flash (reasoning),both
air_106,no,DeepSeek-V4-flash (reasoning),both
air_104,no,DeepSeek-V4-flash (reasoning),both
air_123,no,DeepSeek-V4-flash (reasoning),both
air_119,no,DeepSeek-V4-flash (reasoning),both
air_122,no,DeepSeek-V4-flash (reasoning),both
air_124,no,DeepSeek-V4-flash (reasoning),both
air_130,no,DeepSeek-V4-flash (reasoning),both
air_138,no,DeepSeek-V4-flash (reasoning),both
air_139,no,DeepSeek-V4-flash (reasoning),both
air_145,no,DeepSeek-V4-flash (reasoning),both
air_146,no,DeepSeek-V4-flash (reasoning),both
air_149,no,DeepSeek-V4-flash (reasoning),both
air_154,no,DeepSeek-V4-flash (reasoning),both
air_159,no,DeepSeek-V4-flash (reasoning),both
air_167,no,DeepSeek-V4-flash (reasoning),both
air_168,no,DeepSeek-V4-flash (reasoning),both
air_172,no,DeepSeek-V4-flash (reasoning),both
air_173,no,DeepSeek-V4-flash (reasoning),both
air_178,no,DeepSeek-V4-flash (reasoning),both
air_182,no,DeepSeek-V4-flash (reasoning),gained
air_198,no,DeepSeek-V4-flash (reasoning),both
air_201,no,DeepSeek-V4-flash (reasoning),neither
air_203,no,DeepSeek-V4-flash (reasoning),both
air_205,no,DeepSeek-V4-flash (reasoning),both
air_212,no,DeepSeek-V4-flash (reasoning),both
air_213,no,DeepSeek-V4-flash (reasoning),both
air_214,no,DeepSeek-V4-flash (reasoning),both
air_228,no,DeepSeek-V4-flash (reasoning),both
air_235,no,DeepSeek-V4-flash (reasoning),both
air_236,no,DeepSeek-V4-flash (reasoning),both
air_239,no,DeepSeek-V4-flash (reasoning),both
air_246,no,DeepSeek-V4-flash (reasoning),both
air_248,no,DeepSeek-V4-flash (reasoning),neither
air_243,no,DeepSeek-V4-flash (reasoning),both
air_251,no,DeepSeek-V4-flash (reasoning),both
air_250,no,DeepSeek-V4-flash (reasoning),both
air_252,no,DeepSeek-V4-flash (reasoning),both
air_256,no,DeepSeek-V4-flash (reasoning),both
air_273,no,DeepSeek-V4-flash (reasoning),both
air_282,no,DeepSeek-V4-flash (reasoning),both
air_284,no,DeepSeek-V4-flash (reasoning),both
air_285,no,DeepSeek-V4-flash (reasoning),both
air_289,no,DeepSeek-V4-flash (reasoning),both
air_292,no,DeepSeek-V4-flash (reasoning),both
air_296,no,DeepSeek-V4-flash (reasoning),fragile
air_300,no,DeepSeek-V4-flash (reasoning),both
air_301,no,DeepSeek-V4-flash (reasoning),both
air_305,no,DeepSeek-V4-flash (reasoning),both
air_315,no,DeepSeek-V4-flash (reasoning),both
air_314,no,DeepSeek-V4-flash (reasoning),both
air_318,no,DeepSeek-V4-flash (reasoning),gained
air_320,no,DeepSeek-V4-flash (reasoning),both
air_321,no,DeepSeek-V4-flash (reasoning),both
air_323,no,DeepSeek-V4-flash (reasoning),both
air_326,no,DeepSeek-V4-flash (reasoning),both
air_328,no,DeepSeek-V4-flash (reasoning),both
air_335,no,DeepSeek-V4-flash (reasoning),both
air_346,no,DeepSeek-V4-flash (reasoning),neither
air_355,no,DeepSeek-V4-flash (reasoning),both
air_368,no,DeepSeek-V4-flash (reasoning),both
air_371,no,DeepSeek-V4-flash (reasoning),both
air_363,no,DeepSeek-V4-flash (reasoning),both
air_369,no,DeepSeek-V4-flash (reasoning),gained
air_382,no,DeepSeek-V4-flash (reasoning),both
air_405,no,DeepSeek-V4-flash (reasoning),both
p_0,no,DeepSeek-V4-flash (reasoning),both
p_10,no,DeepSeek-V4-flash (reasoning),both
p_11,no,DeepSeek-V4-flash (reasoning),both
2.4,no,DeepSeek-V4-flash (reasoning),both
2.3,no,DeepSeek-V4-flash (reasoning),both
2.7,no,DeepSeek-V4-flash (reasoning),both
2.13,no,DeepSeek-V4-flash (reasoning),both
2.15,no,DeepSeek-V4-flash (reasoning),both
5.2,no,DeepSeek-V4-flash (reasoning),both
5.7,no,DeepSeek-V4-flash (reasoning),both
6.1,no,DeepSeek-V4-flash (reasoning),both
6.2,no,DeepSeek-V4-flash (reasoning),both
p_2,no,DeepSeek-V4-flash (reasoning),both
7.1,no,DeepSeek-V4-flash (reasoning),both
5.10,no,DeepSeek-V4-flash (reasoning),both
p_16,no,DeepSeek-V4-flash (reasoning),both
p_23,no,DeepSeek-V4-flash (reasoning),both
p_35,no,DeepSeek-V4-flash (reasoning),both
p_38,no,DeepSeek-V4-flash (reasoning),both
p_40,no,DeepSeek-V4-flash (reasoning),both
p_51,no,DeepSeek-V4-flash (reasoning),both
p_52,no,DeepSeek-V4-flash (reasoning),both
p_54,no,DeepSeek-V4-flash (reasoning),both
p_61,no,DeepSeek-V4-flash (reasoning),both
p_63,no,DeepSeek-V4-flash (reasoning),both
p_71,no,DeepSeek-V4-flash (reasoning),both
p_72,no,DeepSeek-V4-flash (reasoning),both
p_83,no,DeepSeek-V4-flash (reasoning),both
p_84,no,DeepSeek-V4-flash (reasoning),both
p_85,no,DeepSeek-V4-flash (reasoning),both
p_95,no,DeepSeek-V4-flash (reasoning),both
p_99,no,DeepSeek-V4-flash (reasoning),both
p_104,no,DeepSeek-V4-flash (reasoning),both
p_107,no,DeepSeek-V4-flash (reasoning),both
p_109,no,DeepSeek-V4-flash (reasoning),both
p_108,no,DeepSeek-V4-flash (reasoning),both
p_111,no,DeepSeek-V4-flash (reasoning),both
p_112,no,DeepSeek-V4-flash (reasoning),both
p_123,no,DeepSeek-V4-flash (reasoning),both
p_127,no,DeepSeek-V4-flash (reasoning),both
3.2,no,DeepSeek-V4-flash (reasoning),both
6.9,yes,DeepSeek-V4-flash (reasoning),fragile
air_174,no,DeepSeek-V4-flash (reasoning),both
turner_3,no,DeepSeek-V4-flash (reasoning),both
turner_23,no,DeepSeek-V4-flash (reasoning),both
snp_6,no,DeepSeek-V4-flash (reasoning),neither
holton_44,no,DeepSeek-V4-flash (reasoning),both
snp_37,no,DeepSeek-V4-flash (reasoning),both
snp_12,no,DeepSeek-V4-flash (reasoning),both
holton_22,no,DeepSeek-V4-flash (reasoning),fragile
holton_52,no,DeepSeek-V4-flash (reasoning),both
holton_8,no,DeepSeek-V4-flash (reasoning),both
holton_28,no,DeepSeek-V4-flash (reasoning),both
holton_50,no,DeepSeek-V4-flash (reasoning),both
snp_45,yes,DeepSeek-V4-flash (reasoning),neither
snp_19,no,DeepSeek-V4-flash (reasoning),both
