id,category,difficulty,model,run,passed,excluded
1.1,atmospheric_thermodynamics,medium,DeepSeek-V4-flash,1,1,0
1.2,atmospheric_thermodynamics,medium,DeepSeek-V4-flash,1,1,0
10.3,atmospheric_chemistry,high,DeepSeek-V4-flash,1,1,0
11.1,atmospheric_chemistry,medium,DeepSeek-V4-flash,1,1,0
13.5,atmospheric_chemistry,high,DeepSeek-V4-flash,1,0,0
2.10,atmospheric_thermodynamics,high,DeepSeek-V4-flash,1,0,0
2.13,atmospheric_thermodynamics,high,DeepSeek-V4-flash,1,0,0
2.14,cloud_physics,medium,DeepSeek-V4-flash,1,1,0
2.15,cloud_physics,high,DeepSeek-V4-flash,1,1,0
2.2,atmospheric_thermodynamics,high,DeepSeek-V4-flash,1,1,0
2.3,atmospheric_thermodynamics,high,DeepSeek-V4-flash,1,1,0
2.4,atmospheric_thermodynamics,high,DeepSeek-V4-flash,1,1,0
2.6,atmospheric_thermodynamics,high,DeepSeek-V4-flash,1,1,0
2.7,atmospheric_thermodynamics,high,DeepSeek-V4-flash,1,1,0
3.11,atmospheric_radiation,high,DeepSeek-V4-flash,1,1,0
3.2,air_quality,medium,DeepSeek-V4-flash,1,1,0
3.4,atmospheric_radiation,high,DeepSeek-V4-flash,1,0,0
3.8,atmospheric_radiation,high,DeepSeek-V4-flash,1,0,0
4.3,atmospheric_dynamics,medium,DeepSeek-V4-flash,1,1,0
4.4,atmospheric_dynamics,medium,DeepSeek-V4-flash,1,1,0
4.5,atmospheric_dynamics,high,DeepSeek-V4-flash,1,0,0
4.6,atmospheric_dynamics,medium,DeepSeek-V4-flash,1,1,0
4.8,atmospheric_dynamics,high,DeepSeek-V4-flash,1,1,0
4.9,atmospheric_dynamics,high,DeepSeek-V4-flash,1,1,0
5.10,atmospheric_dynamics,high,DeepSeek-V4-flash,1,1,0
5.11,atmospheric_dynamics,high,DeepSeek-V4-flash,1,0,0
5.2,atmospheric_dynamics,high,DeepSeek-V4-flash,1,1,0
5.3,atmospheric_dynamics,high,DeepSeek-V4-flash,1,1,0
5.7,atmospheric_dynamics,medium,DeepSeek-V4-flash,1,0,0
5.9,atmospheric_dynamics,high,DeepSeek-V4-flash,1,1,0
6.1,atmospheric_chemistry,medium,DeepSeek-V4-flash,1,1,0
6.1.4,atmospheric_chemistry,medium,DeepSeek-V4-flash,1,1,0
6.2,atmospheric_chemistry,low,DeepSeek-V4-flash,1,1,0
6.6,atmospheric_chemistry,medium,DeepSeek-V4-flash,1,1,0
6.9,atmospheric_chemistry,high,DeepSeek-V4-flash,1,1,0
7.1,observation_and_modeling,medium,DeepSeek-V4-flash,1,1,0
7.4,climate_dynamics,high,DeepSeek-V4-flash,1,0,0
7.5,climate_dynamics,high,DeepSeek-V4-flash,1,0,0
7.6,atmospheric_radiation,high,DeepSeek-V4-flash,1,0,0
8.1,atmospheric_radiation,medium,DeepSeek-V4-flash,1,1,0
8.7,climate_dynamics,high,DeepSeek-V4-flash,1,1,0
