model,protocol,setting,log10_lo,log10_hi,n_problem_runs
gpt-5.5 (reasoning),code,reasoning,1.7,1.8,3
gpt-5.5 (reasoning),code,reasoning,1.8,1.9,12
gpt-5.5 (reasoning),code,reasoning,1.9,2.0,38
gpt-5.5 (reasoning),code,reasoning,2.0,2.1,47
gpt-5.5 (reasoning),code,reasoning,2.1,2.2,79
gpt-5.5 (reasoning),code,reasoning,2.2,2.3,94
gpt-5.5 (reasoning),code,reasoning,2.3,2.4,155
gpt-5.5 (reasoning),code,reasoning,2.4,2.5,147
gpt-5.5 (reasoning),code,reasoning,2.5,2.6,140
gpt-5.5 (reasoning),code,reasoning,2.6,2.7,161
gpt-5.5 (reasoning),code,reasoning,2.7,2.8,145
gpt-5.5 (reasoning),code,reasoning,2.8,2.9,92
gpt-5.5 (reasoning),code,reasoning,2.9,3.0,84
gpt-5.5 (reasoning),code,reasoning,3.0,3.1,57
gpt-5.5 (reasoning),code,reasoning,3.1,3.2,34
gpt-5.5 (reasoning),code,reasoning,3.2,3.3,13
gpt-5.5 (reasoning),code,reasoning,3.3,3.4,3
gpt-5.5 (reasoning),code,reasoning,3.4,3.5,1
gpt-5.5 (reasoning),code,reasoning,3.5,3.6,1
gpt-5.5 (reasoning),code,reasoning,3.6,3.7,1
gpt-5.5 (reasoning),code,reasoning,3.7,3.8,1
gpt-5.5 (reasoning),code,reasoning,3.8,3.9,0
gpt-5.5 (reasoning),code,reasoning,3.9,4.0,0
gpt-5.5 (reasoning),code,reasoning,4.0,4.1,0
gpt-5.5 (reasoning),code,reasoning,4.1,4.2,0
gpt-5.5 (reasoning),code,reasoning,4.2,4.3,0
gpt-5.5 (reasoning),code,reasoning,4.3,4.4,0
gpt-5.5 (reasoning),code,reasoning,4.4,4.5,0
gpt-5.5 (reasoning),code,reasoning,4.5,4.6,0
gpt-5.5 (reasoning),code,reasoning,4.6,4.7,0
gpt-5.5 (reasoning),code,reasoning,4.7,4.8,0
gpt-5.5 (reasoning),code,reasoning,4.8,4.9,0
gpt-5.5 (reasoning),code,reasoning,4.9,5.0,0
gpt-5.5 (reasoning),code,reasoning,5.0,5.1,0
gpt-5.5 (reasoning),code,reasoning,5.1,5.2,0
gpt-5.5 (reasoning),code,reasoning,5.2,5.3,0
gpt-5.5 (reasoning),code,reasoning,5.3,5.4,0
gpt-5.5 (reasoning),code,reasoning,5.4,5.5,0
gpt-5.5 (reasoning),code,reasoning,5.5,5.6,0
Gemini-3.1-Pro (reasoning),code,reasoning,1.7,1.8,0
Gemini-3.1-Pro (reasoning),code,reasoning,1.8,1.9,0
Gemini-3.1-Pro (reasoning),code,reasoning,1.9,2.0,0
Gemini-3.1-Pro (reasoning),code,reasoning,2.0,2.1,0
Gemini-3.1-Pro (reasoning),code,reasoning,2.1,2.2,0
Gemini-3.1-Pro (reasoning),code,reasoning,2.2,2.3,0
Gemini-3.1-Pro (reasoning),code,reasoning,2.3,2.4,0
Gemini-3.1-Pro (reasoning),code,reasoning,2.4,2.5,0
Gemini-3.1-Pro (reasoning),code,reasoning,2.5,2.6,0
Gemini-3.1-Pro (reasoning),code,reasoning,2.6,2.7,6
Gemini-3.1-Pro (reasoning),code,reasoning,2.7,2.8,32
Gemini-3.1-Pro (reasoning),code,reasoning,2.8,2.9,168
Gemini-3.1-Pro (reasoning),code,reasoning,2.9,3.0,370
Gemini-3.1-Pro (reasoning),code,reasoning,3.0,3.1,537
Gemini-3.1-Pro (reasoning),code,reasoning,3.1,3.2,167
Gemini-3.1-Pro (reasoning),code,reasoning,3.2,3.3,20
