model,accuracy,sd,group
gpt-5.5 (reasoning),97.6,0.1,reasoning
Gemini-3.1-Pro (reasoning),96.0,0.7,reasoning
Kimi K2.6 (reasoning),93.8,1.4,reasoning
DeepSeek-V4-pro (reasoning),93.3,0.6,reasoning
Qwen-3.5-397B (reasoning),93.2,1.3,reasoning
DeepSeek-V4-flash (reasoning),91.1,0.8,reasoning
gpt-5.5,90.8,1.4,non-reasoning
Qwen-3.5-397B,90.5,0.7,non-reasoning
Kimi K2.6,90.1,0.3,non-reasoning
Qwen-3.6-27B (reasoning),88.5,0.6,reasoning
DeepSeek-V4-pro,82.6,0.7,non-reasoning
DeepSeek-V4-flash,81.7,1.4,non-reasoning
Qwen-3.6-27B,79.4,0.7,non-reasoning
Qwen-3.5-9B (reasoning),76.9,1.1,reasoning
Qwen-3.5-9B,63.4,1.3,non-reasoning
Qwen-2.5-72B,41.1,1.8,non-reasoning
ClimateGPT-70B,3.1,0.4,out-of-distribution
ClimateGPT-13B,0.8,0.7,out-of-distribution
