model,overall,regime_boundary,geometry_detail,sign_direction,formula_selection,definition_confusion,averaging_space
gemini-3.1-pro,96.5,80.0,83.3,100.0,96.0,100.0,100.0
gpt55-reasoning,96.0,80.0,83.3,100.0,96.0,100.0,96.3
gpt55,88.6,66.7,100.0,77.8,92.0,92.2,92.6
deepseek-v4-flash-reasoning,87.1,60.0,50.0,92.6,88.0,90.2,96.3
qwen3.6-27b-reasoning,82.1,26.7,50.0,81.5,89.3,90.2,85.2
qwen3.6-27b,73.1,20.0,50.0,66.7,80.0,76.5,88.9
deepseek-v4-flash,72.6,20.0,66.7,74.1,73.3,88.2,70.4
qwen3.5-9b-reasoning,64.7,20.0,50.0,51.9,69.3,72.5,77.8
qwen3.5-9b,57.2,6.7,33.3,59.3,56.0,66.7,74.1
__pooled__,79.8,42.2,63.0,78.2,82.2,86.3,86.8
