model,family,n_parents,core_pct,variant_pct,delta_pt,ci_lo_pt,ci_hi_pt,mcnemar_p,p_holm
DeepSeek-V4-flash,numeric,346,88.7,87.9,0.87,-2.08,3.81,0.7011080384254456,1.0
DeepSeek-V4-flash (reasoning),numeric,346,95.7,96.2,-0.58,-2.37,1.21,0.75390625,1.0
DeepSeek-V4-pro,numeric,346,88.4,91.0,-2.6,-5.06,-0.15,0.063568115234375,0.9535
DeepSeek-V4-pro (reasoning),numeric,346,96.8,97.7,-0.87,-1.84,0.11,0.25,1.0
Gemini-3.1-Pro (reasoning),numeric,346,98.6,98.0,0.58,-0.55,1.71,0.625,1.0
gpt-5.5,numeric,346,97.1,96.0,1.16,-0.96,3.27,0.4239501953125,1.0
gpt-5.5 (reasoning),numeric,346,99.4,98.0,1.45,-0.05,2.94,0.125,1.0
Kimi K2.6,numeric,346,95.4,96.8,-1.45,-3.48,0.59,0.266845703125,1.0
Kimi K2.6 (reasoning),numeric,346,98.8,96.5,2.31,0.54,4.09,0.021484375,0.3438
Qwen-2.5-72B,numeric,346,43.1,44.5,-1.45,-5.57,2.68,0.5831321542611763,1.0
Qwen-3.5-397B,numeric,346,95.7,94.8,0.87,-0.63,2.36,0.453125,1.0
Qwen-3.5-397B (reasoning),numeric,346,97.7,96.0,1.73,-0.05,3.52,0.109375,1.0
Qwen-3.5-9B,numeric,346,72.8,71.1,1.73,-2.42,5.89,0.4966174353179338,1.0
Qwen-3.5-9B (reasoning),numeric,346,85.0,82.1,2.89,0.02,5.76,0.07551869750022888,1.0
Qwen-3.6-27B,numeric,346,85.5,86.1,-0.58,-3.47,2.31,0.8450189828872681,1.0
Qwen-3.6-27B (reasoning),numeric,346,94.5,92.8,1.73,-0.22,3.69,0.14599609375,1.0
DeepSeek-V4-flash,paraphrase,436,83.9,83.0,0.92,-1.62,3.46,0.5966148958541453,1.0
DeepSeek-V4-flash (reasoning),paraphrase,436,92.0,91.7,0.23,-1.26,1.72,1.0,1.0
DeepSeek-V4-pro,paraphrase,436,82.6,86.2,-3.67,-6.42,-0.92,0.013852965261321515,0.2216
DeepSeek-V4-pro (reasoning),paraphrase,436,93.8,94.3,-0.46,-1.73,0.81,0.7265625,1.0
Gemini-3.1-Pro (reasoning),paraphrase,436,96.3,95.6,0.69,-0.66,2.04,0.5078125,1.0
gpt-5.5,paraphrase,436,92.2,90.4,1.83,-0.06,3.73,0.09625244140625,1.0
gpt-5.5 (reasoning),paraphrase,436,98.6,96.8,1.83,0.29,3.38,0.03857421875,0.5786
Kimi K2.6,paraphrase,436,92.0,93.1,-1.15,-3.39,1.1,0.42435622215270996,1.0
Kimi K2.6 (reasoning),paraphrase,436,94.5,93.1,1.38,-0.63,3.38,0.26317596435546875,1.0
Qwen-2.5-72B,paraphrase,436,38.8,39.0,-0.23,-3.85,3.39,1.0,1.0
Qwen-3.5-397B,paraphrase,436,92.4,92.2,0.23,-1.93,2.39,1.0,1.0
Qwen-3.5-397B (reasoning),paraphrase,436,94.7,92.9,1.83,0.04,3.62,0.076812744140625,1.0
Qwen-3.5-9B,paraphrase,436,67.4,69.0,-1.61,-5.39,2.18,0.4766877934342755,1.0
Qwen-3.5-9B (reasoning),paraphrase,436,78.0,76.4,1.61,-0.73,3.94,0.24778856337070465,1.0
Qwen-3.6-27B,paraphrase,436,80.7,82.8,-2.06,-4.79,0.66,0.18774155899882317,1.0
Qwen-3.6-27B (reasoning),paraphrase,436,88.3,87.2,1.15,-0.91,3.2,0.38331031799316406,1.0
