model,core_pct_n346,numeric_variant_pct_n346,core_pct_n436,paraphrase_variant_pct_n436
gpt-5.5 (reasoning),99.4,98.0,98.6,96.8
Gemini-3.1-Pro (reasoning),98.6,98.0,96.3,95.6
Kimi K2.6 (reasoning),98.8,96.5,94.5,93.1
DeepSeek-V4-pro (reasoning),96.8,97.7,93.8,94.3
Qwen-3.5-397B (reasoning),97.7,96.0,94.7,92.9
DeepSeek-V4-flash (reasoning),95.7,96.2,92.0,91.7
gpt-5.5,97.1,96.0,92.2,90.4
Qwen-3.5-397B,95.7,94.8,92.4,92.2
Kimi K2.6,95.4,96.8,92.0,93.1
Qwen-3.6-27B (reasoning),94.5,92.8,88.3,87.2
DeepSeek-V4-pro,88.4,91.0,82.6,86.2
DeepSeek-V4-flash,88.7,87.9,83.9,83.0
Qwen-3.6-27B,85.5,86.1,80.7,82.8
Qwen-3.5-9B (reasoning),85.0,82.1,78.0,76.4
Qwen-3.5-9B,72.8,71.1,67.4,69.0
Qwen-2.5-72B,43.1,44.5,38.8,39.0
